Comment;Designator;Footprint;JLCPCB Part#;JLCPCB Type
BLM 0805 100R 30mR;BLM1, BLM2, BLM3, BLM4, BLM5, BLM6, BLM7, BLM8, BLM9, BLM10, BLM11, BLM12, BLM14, BLM15, BLM16, BLM17, BLM18, BLM19;RES_0805_N;C79382;EXTENDED
CAP 0603 22U 6V3;C1, C26, C27, C41, C44, C51, C54, C65, C67, C80, C94, C105, C107;CAP_0603_N;C59461;BASIC
CAP 0805 22U 25V;C2, C3, C4, C7, C8, C9, C10, C13, C14, C16, C17, C18, C19, C20, C25, C33, C34, C35, C36, C37, C38, C39, C40, C45, C47, C48, C49, C50, C52, C56, C57, C58, C59, C66, C70, C85, C88, C89, C91, C92, C99, C101, C104, C110, C111;CAP_0805_N;C45783;BASIC
CAP_0603 1UF 50V;C5, C11, C21, C22, C28, C30, C42, C43, C46, C53, C55, C62, C63, C64, C71, C73, C90, C95, C96, C97, C98, C102, C103, C108, C109;CAP_0603_N;C15849;BASIC
CAP 0603 10UF 25V;C6, C12, C15, C23, C24, C29, C60, C61, C68, C69, C74, C75, C76, C77, C78, C79, C81, C82, C83, C84, C93;CAP_0603_N;C96446;BASIC
CAP_0603 100NF 50V;C31, C32, C86;CAP_0603_N;C14663;BASIC
DIODE-SCH-5A-SS54;D1, D2, D3, D4, D7, D8, D11, D12, D13, D14;DIOM529X267X242L114X150N;C22452;BASIC
BAV99,215;D5, D6;SOT23-3P95_230X110L30X43N;C2500;BASIC
KF2EDG-2.54-4P;J1, J3, J7, J10, J11, J31, J35;KF2EDG-2.54-4P;;
KF2EDG381-2;J2, J4, J18, J23, J29, J30, J36, J38;KF2EDG-3.81-2P;C441182;EXTENDED
KF2EDG254-2;J5, J8, J19, J20, J34, J37;KF2EDG-2.54-2P;C577594;EXTENDED
KF2EDG508-2;J6, J14;KF2EDG-5.08-2P;;
IDC10M+;J9, J17;IDC10M+;C429962;
IDC8M+;J12, J32;IDC8M+;C5156664;EXTENDED
JMP3;J13, J16, J22, J25, J26;JMP3;;
JST_03DB-6S;J15;JST_03DB-6S;;
JMP2;J21;JMP2;;
SHDRV3W64P250_3X1_990X575H700;J24;SHDRV3W64P250_3X1_990X575H700;;
LED_0805(2012 Metric)_L_Red;LED1;LED_0805(2012 Metric)_L_Red;;
LED_0805(2012 Metric)_L_Green;LED2;LED_0805(2012 Metric)_L_Green;;
KT-0805Y;LED3, LED4, LED5, LED18, LED19, LED22;LED_0805(2012 Metric)_L_Yellow;C2296;BASIC
KT-0805W;LED6, LED7, LED8;LED_0805(2012 Metric)_L_White;C34499;BASIC
KT-0805G;LED11, LED12, LED16, LED17, LED20, LED21, LED23;LED_0805(2012 Metric)_L_Green;C2297;BASIC
OLED 1.5  128x128;OLED1;OLED 1.5  128x128;;
PSU Mini360;PSU1, PSU2;MINI-360;;
MOSFET_N_60N04B;Q1, Q2, Q4, Q5, Q6, Q14, Q15, Q16, Q17, Q18, Q19;DPAK4P228_1010X250L150X76T530X463N;C7543826;EXTENDED
AO3400A;Q3, Q7, Q8, Q9, Q10, Q11;SOT23-3P95_280X125L45X40N_AD1;C20917;BASIC
RES 0603 1K;R1;RES_0603_N;C21190;BASIC
RES 0603 20R;R2, R5, R19, R25, R31, R39, R52, R53, R63, R64, R88, R90;RES_0603_N;C22950;BASIC
RES 0603 2K;R3, R7, R8, R13, R18, R27, R32, R46, R47, R48, R55, R57, R58, R65, R68, R80;RES_0603_N;C22975;BASIC
RES 0603 2K7;R4, R69, R75;RES_0603_N;C13167;BASIC
RES 0603 20K;R6, R20;RES_0603_N;C4184;BASIC
RES 1210 0R51;R9, R10, R11, R14, R15, R21, R22, R23, R24, R33, R34, R35, R36, R37, R38, R43, R45, R73, R74, R77, R78, R91, R92, R93, R140;RES_1210_N;C304199;EXTENDED
RES 0603 4K7;R12, R16, R17, R28, R30, R40, R42, R44, R49, R50, R51, R60, R66, R67, R70, R72, R108, R109, R141, R142;RES_0603_N;C23162;BASIC
RES 0603 10K;R26, R29, R76, R101, R102, R103, R104, R105, R106, R107;RES_0603_N;C15401;BASIC
RES 0603 3K3;R54, R62, R71, R79, R81;RES_0603_N;C22978;BASIC
RES 0603 680R;R61;RES_0603_N;C23228;BASIC
RES 0603 220R;R82, R83, R84, R85, R86, R87, R94, R95, R96, R97, R98, R99;RES_0603_N;C22962;BASIC
RES 0603 100R;R110;RES_0603_N;C22775;BASIC
SW NO 6x6 ;S1, S2, S3, S4, S5, S6, S7, S8;SW NO 6x6 ;;
HiCrntTestPoint;TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10;HiCrntTestPoint;;
VREG 5V 1A SOT-223;U1, U6;SOT223-4P229_700X180L53X74N;C6187;BASIC
SP485EEN-L/TR;U2, U5, U24;SOIC8P127_490X600X175L83X41N_AD1;C6855;BASIC
uSD + RTC;U3;uSD + RTC;;
AP74700Q;U4, U7;SOT23-6P95_280X140L40X38N;C5381661;EXTENDED
1G125;U9, U10, U11, U16, U20;1G125;C75925;
MT3608-17x37 FaceIN;U12;MT3608-17x37 FaceIN;;
Arduino MEGA 2560 FaceDown;U13;Arduino MEGA 2560 FaceDown;;
KF2EDG-2.54-3P;U17, U19;KF2EDG-2.54-3P;;
DFplayer Horizontal;U21;DFplayer Horizontal;;
1NA3221_QFN-16/4x4x0.65;U26, U27;1NA3221_QFN-16/4x4x0.65;C2653869;
