Designator;Mid X mm (mm);Mid Y mm (mm);Layer;Rotation
BLM1;56.554;51.594;Top;269.99
BLM2;134.938;194.151;Top;0.0
BLM3;121.761;149.066;Top;180.0
BLM4;55.794;102.943;Top;90.0
BLM5;59.69;106.371;Top;180.0
BLM6;59.055;82.868;Top;180.0
BLM7;54.769;69.85;Top;0.0
BLM8;75.089;196.056;Top;180.0
BLM9;54.769;93.504;Top;0.0
BLM10;55.721;79.692;Top;90.0
BLM11;113.983;186.373;Top;180.0
BLM12;55.721;86.042;Top;270.0
BLM14;121.761;121.126;Bottom;90.0
BLM15;124.619;87.63;Bottom;180.0
BLM16;55.794;109.724;Top;270.0
BLM17;64.77;52.546;Top;0.0
BLM18;109.696;151.765;Top;270.0
BLM19;8.414;131.286;Top;90.0
C1;16.669;46.196;Top;0.0
C2;116.391;41.134;Top;0.0
C3;57.841;102.916;Top;270.0
C4;17.939;94.784;Top;90.0
C5;122.872;129.222;Bottom;180.0
C6;122.555;43.18;Top;180.0
C7;122.714;41.116;Top;180.0
C8;130.334;50.482;Top;90.0
C9;29.527;147.161;Top;180.0
C10;29.527;145.098;Top;180.0
C11;126.683;29.369;Top;90.0
C12;57.471;86.214;Top;270.0
C13;133.668;83.503;Top;90.0
C14;58.346;68.496;Top;90.0
C15;116.84;143.034;Top;0.0
C16;19.844;115.094;Top;180.0
C17;9.208;133.985;Top;180.0
C18;134.62;190.659;Top;270.0
C19;17.939;90.329;Top;270.0
C20;58.261;91.916;Top;90.0
C21;126.683;20.32;Top;90.0
C22;101.759;29.369;Top;90.0
C23;59.849;80.486;Top;270.0
C24;128.429;111.601;Top;180.0
C25;9.208;136.049;Top;180.0
C26;72.231;59.055;Top;0.0
C27;22.066;46.196;Top;180.0
C28;7.461;33.973;Top;0.0
C29;23.495;114.618;Top;90.0
C30;41.116;29.051;Top;90.0
C31;26.103;102.742;Top;180.0
C32;26.103;77.659;Top;180.0
C33;17.78;69.384;Top;90.0
C34;17.78;65.246;Top;270.0
C35;19.685;69.384;Top;90.0
C36;21.749;69.384;Top;90.0
C37;19.844;94.784;Top;90.0
C38;21.907;94.784;Top;90.0
C39;21.907;90.329;Top;270.0
C40;19.844;90.329;Top;270.0
C41;30.163;176.371;Top;90.0
C42;6.35;118.904;Top;90.0
C43;122.872;127.794;Bottom;180.0
C44;74.454;1.587;Top;0.0
C45;19.526;168.503;Top;0.0
C46;7.461;48.26;Top;0.0
C47;21.749;65.246;Top;270.0
C48;19.685;65.246;Top;270.0
C49;117.316;186.373;Top;180.0
C50;130.334;54.61;Top;270.0
C51;47.942;6.667;Top;0.0
C52;133.521;97.847;Top;90.0
